episode,crop,season_return,avg100_return,actor_loss,critic_loss,entropy,total_water_mm,total_nitrogen_kgha,vs_baseline_pct
183,maize,-90.3542,-79.988,0.301034,88.208458,0.065335,2645.0,210.0,47.65
184,cotton,-134.5329,-80.8689,1.531618,253.934921,0.116384,2750.0,210.0,47.07
185,maize,-88.8411,-80.5509,0.319401,71.286827,0.078292,2550.0,210.0,47.28
186,maize,-90.4886,-80.2934,0.542439,72.701782,0.082383,2610.0,210.0,47.45
187,cotton,-136.1516,-81.1379,0.427419,49.73584,0.123515,2785.0,210.0,46.89
188,cotton,-133.4495,-81.3622,-0.115561,39.858154,0.134221,2730.0,210.0,46.75
189,cotton,-135.4214,-82.2289,-0.277401,36.814335,0.116263,2775.0,210.0,46.18
190,cotton,-136.3326,-82.4945,-0.031443,31.878456,0.131769,2780.0,210.0,46.01
191,maize,-89.7465,-82.9237,-0.736387,39.863026,0.201977,2585.0,210.0,45.72
192,maize,-85.3908,-82.6618,-0.540252,31.833637,0.196829,2560.0,210.0,45.9
193,cotton,-134.1856,-82.9169,1.200485,73.319023,0.138249,2745.0,210.0,45.73
194,maize,-87.6734,-82.6429,0.534723,46.31176,0.146597,2595.0,210.0,45.91
195,maize,-90.3662,-82.4262,0.360282,22.678101,0.093308,2600.0,210.0,46.05
196,cotton,-135.0334,-83.2813,0.745209,91.333946,0.16431,2760.0,210.0,45.49
197,cotton,-132.3453,-84.0893,0.318211,77.036293,0.14622,2715.0,210.0,44.96
198,maize,-92.8222,-83.8185,-0.167327,36.405708,0.058223,2650.0,210.0,45.14
199,maize,-84.8391,-84.1991,-0.396772,45.264343,0.061398,2510.0,210.0,44.89
200,maize,-87.8365,-84.6094,-0.275742,23.711613,0.079747,2590.0,210.0,44.62
201,cotton,-135.3621,-85.4617,-0.488298,51.020142,0.148306,2760.0,210.0,44.06
202,cotton,-135.0598,-86.3154,0.03327,45.690475,0.148007,2750.0,210.0,43.5
203,cotton,-138.8257,-86.5862,0.000443,30.315084,0.149622,2830.0,210.0,43.33
204,cotton,-136.8149,-86.8176,0.706764,42.833687,0.153791,2790.0,210.0,43.18
205,maize,-85.7274,-86.5259,1.257054,231.396103,0.096184,2575.0,210.0,43.37
206,cotton,-136.4191,-87.3846,0.886251,57.684902,0.188856,2785.0,210.0,42.8
207,cotton,-133.618,-88.2407,0.231507,80.047958,0.183175,2735.0,210.0,42.24
208,cotton,-132.161,-88.4265,-0.236993,58.329502,0.188735,2705.0,210.0,42.12
209,maize,-76.1709,-88.6993,0.964206,38.207008,0.209054,2360.0,210.0,41.94
210,cotton,-133.1182,-89.5365,-1.27215,89.980782,0.182381,2720.0,210.0,41.4
211,cotton,-135.4229,-90.3845,-2.340269,133.748215,0.209377,2770.0,210.0,40.84
212,maize,-82.1684,-90.1696,0.288992,13.595236,0.174239,2450.0,210.0,40.98
213,cotton,-137.5197,-91.0834,-1.989717,147.631531,0.230374,2805.0,210.0,40.38
214,cotton,-136.0076,-91.3207,-2.259752,139.869354,0.224602,2780.0,210.0,40.23
215,cotton,-130.6584,-92.1501,-2.453515,144.04866,0.232021,2690.0,210.0,39.69
216,maize,-81.4188,-91.8737,-0.212031,43.752796,0.129329,2530.0,210.0,39.87
217,maize,-85.3286,-92.247,-0.004985,18.089695,0.141907,2575.0,210.0,39.62
218,cotton,-134.812,-93.099,0.521216,33.233471,0.25168,2755.0,210.0,39.06
219,cotton,-134.6146,-93.9647,0.266863,24.366537,0.25741,2750.0,210.0,38.5
220,maize,-76.3912,-93.5783,0.512597,21.506317,0.166383,2345.0,210.0,38.75
221,cotton,-134.4851,-93.8165,-0.54456,27.340614,0.274014,2745.0,210.0,38.59
222,maize,-78.9873,-93.4519,-0.106161,7.307741,0.153268,2430.0,210.0,38.83
223,cotton,-133.7556,-94.3104,-0.918729,28.476431,0.29183,2740.0,210.0,38.27
224,cotton,-133.531,-95.1398,-0.3176,24.528952,0.278191,2735.0,210.0,37.73
225,cotton,-136.635,-96.0736,0.784332,32.237167,0.287655,2795.0,210.0,37.12
226,maize,-74.6835,-96.3215,0.933198,75.622078,0.082621,2390.0,210.0,36.96
227,maize,-69.0213,-96.5349,0.998731,77.117943,0.085278,2285.0,210.0,36.82
228,maize,-67.7504,-96.7275,0.170826,22.21834,0.024846,2205.0,210.0,36.69
229,maize,-48.6865,-96.0847,0.516409,159.077164,0.00723,1890.0,210.0,37.11
230,maize,-50.3843,-96.1106,0.005682,52.098373,0.005999,1825.0,210.0,37.09
231,cotton,-132.7863,-96.9478,0.294576,27.159395,0.302499,2720.0,210.0,36.55
232,maize,-48.7777,-96.2665,0.001197,26.944477,0.003141,1835.0,210.0,36.99
233,cotton,-135.2936,-97.1441,-2.051734,79.580765,0.300337,2760.0,210.0,36.42
234,cotton,-134.1036,-97.3084,-3.217504,121.971123,0.354573,2745.0,210.0,36.31
235,maize,-50.9244,-97.3724,-0.000542,21.454041,0.001878,1865.0,210.0,36.27
236,maize,-49.5182,-97.3909,-0.000872,21.849056,0.001689,1865.0,210.0,36.26
237,maize,-46.9062,-97.399,-0.000765,18.129126,0.001583,1825.0,210.0,36.25
238,maize,-48.2557,-97.3992,-0.000604,12.062568,0.001609,1805.0,210.0,36.25
239,maize,-52.2865,-96.6948,9.3e-05,12.861411,0.001677,1905.0,210.0,36.71
240,cotton,-134.989,-96.8965,3.16504,163.150269,0.32655,2750.0,210.0,36.58
241,cotton,-133.1217,-97.0814,3.818006,153.369278,0.318487,2720.0,210.0,36.46
242,maize,-47.0284,-97.0171,0.000128,43.094383,0.002036,1845.0,210.0,36.5
243,cotton,-134.5812,-97.8951,0.301134,27.607637,0.296308,2760.0,210.0,35.93
244,maize,-47.5196,-97.8894,-0.000561,28.336191,0.002605,1815.0,210.0,35.93
245,maize,-50.8949,-97.9415,-0.000391,6.499388,0.002568,1875.0,210.0,35.89
246,cotton,-136.3016,-98.7985,-2.203996,141.815338,0.267015,2780.0,210.0,35.33
247,cotton,-135.8422,-99.0996,-3.019844,156.389389,0.285155,2780.0,210.0,35.14
248,maize,-51.5126,-98.4369,-0.000752,6.242921,0.003455,1865.0,210.0,35.57
249,maize,-46.8409,-97.776,-0.000102,5.551831,0.003909,1845.0,210.0,36.0
250,cotton,-137.6489,-98.0714,-0.834738,114.13546,0.297478,2800.0,210.0,35.81
251,maize,-49.9442,-98.083,0.00103,6.986588,0.005163,1875.0,210.0,35.8
252,maize,-47.8668,-97.4231,0.000447,6.088642,0.005575,1895.0,210.0,36.23
253,cotton,-131.5304,-98.2691,-0.708088,28.996901,0.260101,2705.0,210.0,35.68
254,maize,-46.3514,-97.5375,-0.001277,10.467129,0.006043,1785.0,210.0,36.16
255,maize,-49.5583,-96.8919,-0.000571,4.552165,0.00646,1845.0,210.0,36.58
256,maize,-47.0644,-96.8923,0.03676,4.821141,0.00609,1855.0,210.0,36.58
257,maize,-47.8699,-96.8965,0.000597,3.093003,0.007677,1845.0,210.0,36.58
258,maize,-51.7044,-96.9606,0.001099,17.54178,0.009976,1865.0,210.0,36.54
259,cotton,-139.4421,-97.1219,1.798825,78.351768,0.293974,2845.0,210.0,36.43
260,cotton,-136.1884,-98.029,1.888712,68.793434,0.312347,2780.0,210.0,35.84
261,cotton,-136.2103,-98.9401,0.574463,31.107334,0.288965,2780.0,210.0,35.24
262,cotton,-139.5878,-99.0479,-1.552442,65.167053,0.306311,2845.0,210.0,35.17
263,maize,-47.7517,-99.0402,-0.301211,33.787964,0.018463,1845.0,210.0,35.18
264,cotton,-134.7495,-99.0873,-1.507297,78.595963,0.265145,2755.0,210.0,35.14
265,maize,-46.5898,-99.0568,-0.009813,34.969551,0.01124,1805.0,210.0,35.16
266,cotton,-133.5758,-99.9196,-0.828635,39.354477,0.248493,2725.0,210.0,34.6
267,cotton,-136.0411,-100.8054,-0.130827,17.503862,0.275275,2775.0,210.0,34.02
268,cotton,-139.1711,-101.7056,1.542878,49.922825,0.251929,2840.0,210.0,33.43
269,maize,-47.1217,-100.8277,-0.0469,29.035534,0.012673,1825.0,210.0,34.01
270,cotton,-141.9418,-101.8041,3.323605,203.459198,0.277775,2890.0,210.0,33.37
271,maize,-50.2483,-101.7725,0.000932,13.873155,0.012614,1885.0,210.0,33.39
272,maize,-49.4636,-100.9247,0.000106,14.256083,0.011635,1805.0,210.0,33.94
273,maize,-44.2147,-100.0233,-0.001389,18.370531,0.008621,1785.0,210.0,34.53
274,maize,-51.172,-99.6652,-0.002176,9.924219,0.008723,1835.0,210.0,34.77
275,cotton,-135.8276,-99.6814,-0.407493,26.68873,0.262349,2770.0,210.0,34.76
276,maize,-49.1431,-98.8282,-0.001534,13.431969,0.00837,1845.0,210.0,35.31
277,maize,-51.2785,-98.5171,0.000573,26.583973,0.008757,1865.0,210.0,35.52
