episode,crop,dap,xlai,topwt,water_mm,nitrogen_kg
1500,maize,0,0.0,0.0,0.0,0.0
1500,maize,0,0.0,0.0,0.0,0.0
1500,maize,0,0.0,0.0,0.0,0.0
1500,maize,0,0.0,0.0,0.0,0.0
1500,maize,0,0.0,0.0,0.0,0.0
1500,maize,0,0.0,0.0,0.0,0.0
1500,maize,0,0.0,0.0,0.0,0.0
1500,maize,0,0.0,0.0,0.0,0.0
1500,maize,0,0.0,0.0,0.0,0.0
1500,maize,0,0.0,0.0,0.0,0.0
1500,maize,0,0.0,0.0,0.0,0.0
1500,maize,0,0.0,0.0,0.0,0.0
1500,maize,0,0.0,0.0,0.0,0.0
1500,maize,0,0.0,0.0,0.0,0.0
1500,maize,0,0.0,0.0,0.0,0.0
1500,maize,1,0.0,0.0,5,0.0
1500,maize,2,0.0,0.0,5,0.0
1500,maize,3,0.0,0.0,5,0.0
1500,maize,4,0.0,0.0,5,0.0
1500,maize,5,0.0,0.0,5,0.0
1500,maize,6,0.0,0.0,5,0.0
1500,maize,7,0.0,0.0,5,0.0
1500,maize,8,0.0,0.0,5,0.0
1500,maize,9,0.0,0.0,5,0.0
1500,maize,10,0.0,0.0,5,0.0
1500,maize,11,0.003,28.8,5,0.0
1500,maize,12,0.0049,28.8,5,0.0
1500,maize,13,0.0065,28.8,5,0.0
1500,maize,14,0.0085,28.8,5,0.0
1500,maize,15,0.012,28.8,5,0.0
1500,maize,16,0.0155,28.8,5,0.0
1500,maize,17,0.0176,28.8,5,0
1500,maize,18,0.021,28.8,5,10
1500,maize,19,0.0371,28.8,5,10
1500,maize,20,0.0563,31.37,5,0
1500,maize,21,0.0739,38.28,8,40
1500,maize,22,0.0872,44.14,8,40
1500,maize,23,0.1013,50.13,8,40
1500,maize,24,0.028,52.37,8,0.0
1500,maize,25,0.0406,58.01,8,0.0
1500,maize,26,0.0513,63.74,8,0.0
1500,maize,27,0.0581,68.12,8,0.0
1500,maize,28,0.0635,70.71,8,0.0
1500,maize,29,0.0538,73.51,8,0.0
1500,maize,30,0.0684,80.64,8,0.0
1500,maize,31,0.0946,93.64,8,0.0
1500,maize,32,0.1231,108.49,8,0.0
1500,maize,33,0.1654,131.94,8,0.0
1500,maize,34,0.2293,169.8,8,0.0
1500,maize,35,0.288,208.13,8,0.0
1500,maize,36,0.3122,211.35,8,0.0
1500,maize,37,0.323,223.82,8,10
1500,maize,38,0.3379,238.49,8,5
1500,maize,39,0.3476,250.23,8,40
1500,maize,40,0.3728,271.64,8,0
1500,maize,41,0.4672,332.9,8,0
1500,maize,42,0.5741,402.37,8,0
1500,maize,43,0.7027,490.63,8,10
1500,maize,44,0.8003,560.91,8,0.0
1500,maize,45,0.9074,641.5,8,0.0
1500,maize,46,1.0626,764.99,8,0.0
1500,maize,47,1.1932,874.57,8,0.0
1500,maize,48,1.2913,960.38,8,0.0
1500,maize,49,1.4041,1063.27,8,0.0
1500,maize,50,1.4786,1133.44,8,0.0
1500,maize,51,1.6017,1254.6,8,0.0
1500,maize,52,1.7277,1384.79,8,0
1500,maize,53,1.8164,1480.05,8,0
1500,maize,54,1.9027,1575.94,8,0
1500,maize,55,2.0175,1709.21,8,0
1500,maize,56,2.0772,1780.99,10,0
1500,maize,57,2.1493,1881.09,10,0
1500,maize,58,2.2214,1989.89,10,0
1500,maize,59,2.295,2113.06,10,0.0
1500,maize,60,2.3437,2215.11,10,0.0
1500,maize,61,2.385,2319.86,10,0.0
1500,maize,62,2.4043,2402.63,10,0.0
