episode,crop,season_return,avg100_return,actor_loss,critic_loss,entropy_water,entropy_nitrogen,total_water_mm,total_nitrogen_kgha,vs_baseline_pct,grain_yield_kgha,profit_usd_ha,avg100_profit_usd_ha
186,maize,17.2333,14.9668,-0.025784,1.089802,0.1909,1.1001,741.0,310.0,100.05,7385.0,1091.65,958.67
187,maize,14.8516,14.9556,-0.037224,2.413494,0.1614,0.874,755.0,500.0,100.05,6697.9,721.49,957.78
188,maize,16.815,15.0305,-0.032991,0.589791,0.1941,1.0529,739.0,445.0,100.05,7017.9,866.08,960.93
189,maize,16.8344,15.0175,-0.099453,2.707202,0.1698,0.948,744.0,195.0,100.05,6464.7,974.77,958.96
190,maize,13.0656,14.998,-0.267936,5.454463,0.1917,1.0572,745.0,230.0,100.05,6340.7,908.18,957.93
191,maize,16.7335,14.9809,-0.016888,0.848914,0.1904,1.0916,742.0,285.0,100.05,7017.9,1024.27,957.52
192,maize,16.983,14.9837,0.00674,0.767926,0.1968,1.1328,759.0,510.0,100.05,7430.1,892.13,955.89
193,maize,12.7204,14.9387,-0.106504,1.316695,0.2053,1.1566,746.0,480.0,100.05,6553.2,710.69,952.54
194,maize,13.7493,14.925,-0.056116,1.450557,0.203,1.0808,743.0,295.0,100.05,6013.4,762.55,952.24
195,maize,18.2905,15.0068,0.110852,3.290828,0.1979,0.9535,736.0,490.0,100.05,7374.0,911.89,954.21
196,maize,13.9806,14.9726,0.021545,1.31033,0.2225,1.0938,748.0,390.0,100.05,6811.6,864.11,952.21
197,maize,14.4478,14.9634,0.03309,1.055899,0.1917,1.0246,751.0,400.0,100.05,7256.4,963.5,950.99
198,maize,12.9448,14.9818,-0.07078,12.399603,0.1924,0.8576,736.0,255.0,100.05,4569.0,445.64,948.81
199,maize,14.1549,14.9848,-0.038191,1.298546,0.2213,1.1544,756.0,490.0,100.05,7237.5,865.76,950.69
200,maize,18.5463,15.0224,0.237442,5.770635,0.1998,0.957,746.0,445.0,100.05,7454.8,971.09,951.61
201,maize,14.9696,15.0108,0.02382,0.846187,0.2159,1.162,743.0,450.0,100.05,6900.1,829.22,950.44
202,maize,15.7457,15.0144,0.093864,1.28738,0.2232,0.9309,770.0,530.0,100.05,7128.4,790.09,948.66
203,maize,13.896,14.9917,-0.023317,0.559063,0.1866,1.0357,745.0,460.0,100.05,6909.9,820.47,946.77
204,maize,19.2135,15.0331,0.194228,2.766725,0.1764,0.9148,736.0,535.0,100.05,7408.6,875.55,944.99
205,maize,13.8445,14.9947,-0.027714,1.294951,0.1935,1.0368,753.0,400.0,100.05,7263.3,964.03,942.97
206,maize,13.7786,14.9828,-0.060486,1.370153,0.197,1.0896,738.0,400.0,100.05,7191.0,954.96,940.57
207,maize,11.7423,14.9205,-0.246594,8.313394,0.1936,1.0606,743.0,465.0,100.05,5635.0,497.94,933.97
208,maize,17.6303,14.9679,0.147442,3.434304,0.1885,0.8159,742.0,445.0,100.05,7158.1,899.31,934.84
209,maize,12.2871,14.9636,-0.26865,4.784595,0.1958,1.0272,748.0,690.0,100.05,6272.2,429.26,929.72
210,maize,10.542,14.9661,-0.273778,9.11491,0.1984,1.0714,732.0,505.0,100.05,6085.6,577.19,928.23
211,maize,11.99,14.9611,-0.11244,2.871843,0.183,0.9004,764.0,580.0,100.05,6335.9,545.58,925.31
212,maize,16.6117,14.956,0.062715,1.650963,0.1867,0.7847,736.0,360.0,100.05,6339.9,783.38,923.21
213,maize,13.0982,14.9047,-0.145779,5.148323,0.2174,0.8727,737.0,355.0,100.05,5801.5,653.17,917.63
214,maize,15.8214,14.9445,0.197979,2.033523,0.1979,0.8472,748.0,400.0,100.05,7132.4,934.31,919.36
