episode,crop,season_return,avg100_return,actor_loss,critic_loss,total_water_mm,total_nitrogen_kgha,vs_baseline_pct,grain_yield_kgha,profit_usd_ha,avg100_profit_usd_ha
181,maize,-797.9586,-430.4885,,,3490.0,0.0,-112.77,5184.2,-797.96,-430.49
182,maize,-565.2641,-431.7401,,,3280.0,0.0,-79.88,5610.9,-565.26,-431.74
183,maize,-207.3028,-430.9986,,,3180.0,0.0,-29.3,6802.8,-207.3,-431.0
184,maize,-168.5341,-427.4104,,,3070.0,0.0,-23.82,6693.9,-168.53,-427.41
185,maize,-511.4799,-427.4229,,,3260.0,0.0,-72.28,5778.1,-511.48,-427.42
186,maize,-273.7115,-423.9491,,,2930.0,0.0,-38.68,5937.2,-273.71,-423.95
187,maize,-531.5898,-427.0759,,,3380.0,0.0,-75.12,5985.6,-531.59,-427.08
188,maize,-287.9506,-425.4264,,,3080.0,0.0,-40.69,6240.2,-287.95,-425.43
189,maize,-137.5409,-423.5636,,,3030.0,0.0,-19.44,6721.8,-137.54,-423.56
190,maize,-664.8489,-425.7215,,,3430.0,0.0,-93.96,5572.6,-664.85,-425.72
191,maize,-329.1387,-423.3698,,,3110.0,0.0,-46.51,6147.4,-329.14,-423.37
192,maize,-778.5709,-426.61,,,3550.0,0.0,-110.03,5405.7,-778.57,-426.61
193,maize,-298.4119,-427.6252,,,3190.0,0.0,-42.17,6462.4,-298.41,-427.63
194,maize,-155.5066,-424.3778,,,3000.0,0.0,-21.98,6578.0,-155.51,-424.38
195,maize,-278.9443,-423.8008,,,3160.0,0.0,-39.42,6468.2,-278.94,-423.8
196,maize,-373.446,-422.5578,,,3060.0,0.0,-52.77,5850.2,-373.45,-422.56
197,maize,-348.3342,-419.4718,,,3170.0,0.0,-49.23,6214.7,-348.33,-419.47
198,maize,-505.9892,-419.2468,,,3300.0,0.0,-71.51,5896.0,-505.99,-419.25
199,maize,-418.2996,-418.9889,,,3090.0,0.0,-59.11,5742.8,-418.3,-418.99
200,maize,-531.5076,-418.5548,,,3220.0,0.0,-75.11,5602.0,-531.51,-418.55
201,maize,-370.9815,-417.8036,,,3210.0,0.0,-52.43,6220.1,-370.98,-417.8
202,maize,-502.21,-417.4548,,,3290.0,0.0,-70.97,5887.2,-502.21,-417.45
203,maize,-408.883,-417.4762,,,3260.0,0.0,-57.78,6188.5,-408.88,-417.48
204,maize,-552.4257,-418.0375,,,3370.0,0.0,-78.07,5878.3,-552.43,-418.04
205,maize,-492.0204,-419.0322,,,3210.0,0.0,-69.53,5735.9,-492.02,-419.03
206,maize,-692.1188,-422.6665,,,3410.0,0.0,-97.81,5415.5,-692.12,-422.67
207,maize,-634.4852,-422.0882,,,3540.0,0.0,-89.66,5958.1,-634.49,-422.09
208,maize,-388.0713,-424.4037,,,3170.0,0.0,-54.84,6055.7,-388.07,-424.4
209,maize,-694.2003,-426.2028,,,3400.0,0.0,-98.1,5383.2,-694.2,-426.2
210,maize,-500.8546,-425.6512,,,3230.0,0.0,-70.78,5748.6,-500.85,-425.65
